"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"TQ96",2813,44,0.433,6.51,36.5,0.74,66.3,179.5,7
"TQ97",2814,16,0.304,12.2,37.97,0.74,42.2,187.1,6
"TQ98",2815,41,0.226,18.28,41.03,0.74,26.7,166.9,6
"TQ99",2816,3,0.229,12.28,29.9,0.74,28.9,145.8,5
"TR01",2817,83,0.347,8.5,35.99,0.74,52.7,182.5,5
"TR02",2818,100,0.4,5.58,23.28,0.74,55.9,147.1,5
"TR03",2819,84,0.427,4.99,23.64,0.74,62.7,151.8,5
"TR04",2820,130,0.46,4.97,32.92,0.74,72.1,167.7,6
"TR05",2821,90,0.473,4.61,30.72,0.74,75.1,166.5,6
"TR06",2822,47,0.33,9.6,38.18,0.74,47.9,178.9,6
"TR07",2823,2,0.257,13.7,33.15,0.74,30.6,154,6
"TR08",2824,0,0.232,19.7,41.63,0.74,28.9,183.6,6
"TR09",2825,17,0.236,16.62,37.18,0.74,28.9,167.9,6
"TR12",2826,14,0.233,16.87,35.53,0.74,29.4,173.7,5
"TR13",2827,132,0.474,5.01,34.28,0.74,74.7,171.9,7
"TR14",2828,88,0.497,4.44,32.87,0.74,78.4,166.9,7
"TR15",2829,80,0.486,4.9,35.31,0.74,81.2,182,7
"TR16",2830,47,0.436,6.2,36.67,0.74,71.7,188.3,7
"TR19",2831,0,0.237,18.52,44.34,0.74,31.5,192.9,6
"TR23",2832,20,0.388,8.51,31.85,0.74,54.8,177.1,7
"TR24",2833,87,0.463,4.59,25.99,0.74,71.5,159.8,6
"TR25",2834,80,0.346,7.63,23.44,0.74,46.5,151,6
"TR26",2835,68,0.323,8.24,25.33,0.74,44.3,155,5
"TR27",2836,0,0.228,20.02,43.78,0.74,29.8,192.9,6
"TR33",2837,0,0.282,15.17,33,0.74,35.4,177.9,7
"TR34",2838,57,0.352,7.46,21.33,0.74,45.7,146.4,5
"TR35",2839,51,0.332,9.21,27.51,0.74,46.1,167.5,6
"TR36",2840,44,0.312,10.09,28.54,0.74,41,161.8,5
"TR37",2841,5,0.313,13.13,33.24,0.74,41.2,185,6
"TR46",2842,0,0.246,16.64,36.86,0.74,32.4,186.2,5
"TR47",2843,0,0.224,19.3,44.49,0.74,31.1,200.4,6
"TV49",2844,17,0.324,10.66,25.81,0.74,43.2,170.3,7
"TV59",2845,53,0.449,6.57,38.86,0.74,79.1,210.1,8
"TV69",2846,8,0.323,11.39,27.62,0.74,39.5,161.2,7
